iter	Passed	Remaining
0	483	47869
1	942	46177
2	1410	45620
3	1998	47974
4	2695	51216
5	3339	52323
6	4025	53476
7	4648	53454
8	5337	53969
9	5936	53428
10	6502	52613
11	7211	52881
12	7720	51665
13	8240	50620
14	8758	49629
15	9274	48690
16	9810	47896
17	10438	47553
18	10996	46881
19	11474	45899
20	11936	44904
21	12456	44163
22	12952	43363
23	13430	42529
24	13915	41745
25	14379	40926
26	15078	40766
27	15620	40166
28	16096	39408
29	16692	38949
30	17200	38284
31	17760	37740
32	18332	37220
33	19036	36953
34	19528	36266
35	20129	35785
36	20778	35379
37	21375	34876
38	22042	34477
39	22727	34091
40	23436	33726
41	24105	33287
42	24776	32843
43	25440	32378
44	25959	31728
45	26506	31115
46	27074	30531
47	27622	29924
48	28160	29310
49	28722	28722
50	29264	28116
51	29802	27510
52	30319	26887
53	30845	26275
54	31351	25650
55	31928	25087
56	32465	24491
57	33041	23926
58	33595	23345
59	34241	22827
60	34811	22256
61	35329	21653
62	35858	21059
63	36433	20494
64	37054	19952
65	37585	19361
66	38122	18776
67	38610	18169
68	39155	17591
69	39662	16998
70	40225	16430
71	40744	15845
72	41268	15263
73	41837	14699
74	42380	14126
75	43167	13631
76	43718	13058
77	44252	12481
78	44844	11920
79	45440	11360
80	46023	10795
81	46623	10234
82	47171	9661
83	47793	9103
84	48377	8537
85	48927	7964
86	49416	7384
87	50007	6819
88	50574	6250
89	51100	5677
90	51625	5105
91	52181	4537
92	52693	3966
93	53171	3393
94	53699	2826
95	54340	2264
96	54934	1699
97	55421	1131
98	56003	565
99	56506	0
