iter	MultiClass
0	-1.089329652
1	-1.080533895
2	-1.07179386
3	-1.063935655
4	-1.056103493
5	-1.048729786
6	-1.042400406
7	-1.035740966
8	-1.029245825
9	-1.023670993
10	-1.01846985
11	-1.012663414
12	-1.007969351
13	-1.003143905
14	-0.9982141622
15	-0.9941187486
16	-0.9898802388
17	-0.9857808371
18	-0.9815785212
19	-0.9774121967
20	-0.9741111815
21	-0.9707132503
22	-0.9669922125
23	-0.9639642213
24	-0.9610751732
25	-0.9583104979
26	-0.9559526984
27	-0.9530108682
28	-0.9504921126
29	-0.9476074001
30	-0.9452799982
31	-0.9433033008
32	-0.9412820482
33	-0.9391806435
34	-0.9371121712
35	-0.9350373729
36	-0.933266193
37	-0.9311448562
38	-0.9292901396
39	-0.9278269979
40	-0.9261677643
41	-0.9246609291
42	-0.9231869928
43	-0.9217381238
44	-0.9204843812
45	-0.9191298656
46	-0.9176265615
47	-0.9162622782
48	-0.9150779209
49	-0.9136390816
50	-0.9125651368
51	-0.911487205
52	-0.9105881419
53	-0.909700394
54	-0.908562926
55	-0.9076878188
56	-0.9067290375
57	-0.9058232799
58	-0.9049732588
59	-0.9039811882
60	-0.9029840817
61	-0.9019206485
62	-0.9011371705
63	-0.9005788825
64	-0.8997403803
65	-0.8989164566
66	-0.8980083594
67	-0.8971680607
68	-0.8964168067
69	-0.895733353
70	-0.8949686742
71	-0.8943061338
72	-0.8937007599
73	-0.8931786472
74	-0.8925144083
75	-0.8918862546
76	-0.8913053206
77	-0.8907334502
78	-0.8902165461
79	-0.889690673
80	-0.8893408205
81	-0.8888061306
82	-0.888278774
83	-0.8876960354
84	-0.8872264306
85	-0.8867871737
86	-0.8864598513
87	-0.8860117675
88	-0.8856103969
89	-0.8852572627
90	-0.8847936638
91	-0.8843793008
92	-0.8840498227
93	-0.8836939742
94	-0.8834126302
95	-0.8830534014
96	-0.882685905
97	-0.8823331605
98	-0.8819480038
99	-0.8815853223
100	-0.8811800725
101	-0.8808890322
102	-0.8805883427
103	-0.880341548
104	-0.8800465812
105	-0.8797302952
106	-0.879403484
107	-0.8791760424
108	-0.8787985701
109	-0.8786104091
110	-0.87829088
111	-0.8780219142
112	-0.8777294837
113	-0.8773360703
114	-0.8770377086
115	-0.8766987971
116	-0.8765048912
117	-0.8763233583
118	-0.8760933599
119	-0.8758357223
120	-0.875562141
121	-0.8752581076
122	-0.8750994096
123	-0.8747728022
124	-0.8745435471
