iter	Passed	Remaining
0	249	249450
1	489	244335
2	746	248120
3	982	244659
4	1232	245318
5	1492	247198
6	1733	245904
7	1973	244739
8	2215	243954
9	2486	246132
10	2720	244632
11	2976	245095
12	3220	244519
13	3466	244132
14	3706	243421
15	3954	243204
16	4207	243263
17	4444	242445
18	4687	242045
19	4927	241461
20	5174	241240
21	5420	240958
22	5666	240703
23	5906	240200
24	6153	239986
25	6398	239710
26	6631	238993
27	6892	239277
28	7140	239076
29	7394	239090
30	7653	239248
31	7917	239519
32	8183	239807
33	8435	239661
34	8685	239461
35	8931	239175
36	9183	239007
37	9422	238527
38	9672	238335
39	9923	238174
40	10168	237851
41	10425	237796
42	10678	237648
43	10923	237340
44	11167	236990
45	11411	236666
46	11651	236242
47	11899	235998
48	12140	235620
49	12412	235836
50	12683	236010
51	12929	235714
52	13169	235317
53	13423	235156
54	13663	234762
55	13902	234354
56	14145	234027
57	14395	233800
58	14641	233519
59	14879	233109
60	15125	232829
61	15372	232574
62	15612	232204
63	15859	231942
64	16107	231696
65	16357	231482
66	16616	231395
67	16858	231066
68	17121	231022
69	17371	230797
70	17619	230543
71	17870	230328
72	18109	229965
73	18351	229637
74	18598	229378
75	18850	229182
76	19096	228906
77	19340	228610
78	19599	228497
79	19853	228314
80	20100	228053
81	20339	227707
82	20586	227441
83	20838	227235
84	21083	226959
85	21326	226659
86	21579	226458
87	21820	226144
88	22063	225836
89	22302	225501
90	22548	225235
91	22785	224878
92	23032	224625
93	23267	224260
94	23514	224010
95	23763	223773
96	24005	223469
97	24246	223168
98	24494	222925
99	24736	222626
100	24987	222410
101	25226	222093
102	25478	221887
103	25720	221592
104	25976	221418
105	26233	221252
106	26477	220975
107	26718	220678
108	26975	220503
109	27215	220195
110	27477	220064
111	27737	219915
112	27996	219757
113	28251	219568
114	28493	219278
115	28732	218960
116	28977	218693
117	29232	218502
118	29474	218211
119	29727	218002
120	29989	217859
121	30277	217900
122	30527	217663
123	30768	217366
124	31010	217071
125	31251	216776
126	31496	216504
127	31737	216209
128	31987	215977
129	32231	215705
130	32493	215550
131	32732	215240
132	32977	214972
133	33227	214740
134	33471	214464
135	33708	214146
136	33943	213821
137	34185	213536
138	34434	213296
139	34680	213035
140	34923	212758
141	35176	212543
142	35426	212309
143	35680	212099
144	35883	211586
145	36136	211371
146	36375	211074
147	36617	210799
148	36861	210532
149	37117	210332
150	37379	210164
151	37628	209929
152	37873	209663
153	38123	209430
154	38368	209172
155	38625	208972
156	38867	208695
157	39113	208441
158	39356	208166
159	39607	207940
160	39844	207637
161	40089	207375
162	40335	207119
163	40576	206839
164	40814	206548
165	41057	206276
166	41309	206050
167	41568	205862
168	41824	205657
169	42068	205394
170	42323	205184
171	42614	205144
172	42854	204860
173	43097	204588
174	43356	204396
175	43597	204114
176	43921	204221
177	44279	204482
178	44551	204337
179	44813	204151
180	45181	204437
181	45519	204587
182	45776	204366
183	46059	204264
184	46329	204102
185	46596	203922
186	46862	203739
187	47123	203533
188	47395	203372
189	47686	203296
190	48091	203697
191	48362	203526
192	48633	203352
193	48895	203142
194	49171	202988
195	49435	202785
196	49692	202553
197	49955	202346
198	50213	202115
199	50467	201868
200	50740	201698
201	51007	201505
202	51271	201298
203	51539	201107
204	51807	200911
205	52089	200770
206	52364	200602
207	52647	200463
208	52919	200282
209	53182	200068
210	53442	199838
211	53710	199641
212	53971	199417
213	54224	199159
214	54470	198879
215	54713	198588
216	54961	198317
217	55203	198023
218	55459	197779
219	55712	197524
220	55964	197269
221	56201	196957
222	56440	196655
223	56677	196346
224	56929	196088
225	57183	195840
226	57451	195639
227	57707	195396
228	57939	195072
229	58183	194786
230	58414	194463
231	58658	194179
232	58907	193914
233	59143	193607
234	59382	193307
235	59635	193055
236	59877	192771
237	60111	192457
238	60350	192162
239	60583	191849
240	60822	191552
241	61057	191245
242	61297	190955
243	61532	190650
244	61774	190365
245	62036	190142
246	62285	189881
247	62545	189653
248	62787	189370
249	63030	189090
250	63299	188890
251	63540	188604
252	63796	188364
253	64047	188107
254	64293	187839
255	64537	187563
256	64780	187284
257	65019	186995
258	65252	186688
259	65488	186390
260	65734	186121
261	65982	185858
262	66223	185576
263	66464	185295
264	66703	185008
265	66948	184736
266	67209	184511
267	67469	184282
268	67715	184015
269	68022	183912
270	68377	183936
271	68691	183851
272	68965	183654
273	69234	183447
274	69504	183238
275	69789	183071
276	70157	183119
277	70615	183396
278	70935	183314
279	71273	183274
280	71602	183209
281	71984	183279
282	72235	183013
283	72622	183090
284	72878	182835
285	73136	182586
286	73404	182359
287	73652	182085
288	73938	181903
289	74180	181613
290	74452	181398
291	74730	181196
292	74971	180904
293	75215	180618
294	75484	180394
295	75759	180184
296	76032	179970
297	76275	179682
298	76546	179461
299	76815	179235
300	77062	178958
301	77311	178687
302	77578	178455
303	77832	178194
304	78103	177974
305	78381	177766
306	78674	177595
307	78965	177416
308	79266	177259
309	79527	177011
310	79789	176767
311	80064	176553
312	80353	176366
313	80612	176115
314	80916	175961
315	81174	175706
316	81467	175526
317	81753	175333
318	82004	175063
319	82248	174779
320	82504	174518
321	82769	174277
322	83035	174039
323	83295	173789
324	83545	173516
325	83798	173251
326	84053	172990
327	84295	172703
328	84545	172430
329	84781	172132
330	85031	171862
331	85285	171598
332	85558	171374
333	85816	171118
334	86060	170837
335	86319	170583
336	86585	170344
337	86825	170055
338	87129	169889
339	87423	169704
340	87690	169466
